,zip,city,cases,n_killed,n_injured,population,rate,High school or higher,Bachelor or higher,poverty,unemployment
1440,18640,Buffalo,1.0,1.0,1.0,17375.0,0.05755395683453238,89.8,18.1,13.0,6.4
1441,18643,Buffalo,1.0,0.0,0.0,12513.0,0.07991688643810438,90.3,26.3,13.6,3.9
1442,18644,Buffalo,1.0,0.0,0.0,7221.0,0.13848497438027974,94.0,29.1,9.3,8.2
1443,18651,Buffalo,3.0,1.0,1.0,8556.0,0.35063113604488083,87.6,14.3,19.4,5.6
1444,18657,Buffalo,2.0,4.0,4.0,11996.0,0.16672224074691563,92.5,20.6,9.8,5.0
1445,18702,Buffalo,19.0,2.0,2.0,39594.0,0.4798706874779007,84.2,19.0,26.7,10.6
1446,18704,Buffalo,3.0,0.0,0.0,30731.0,0.09762129445836451,94.1,30.6,12.1,6.6
1447,18705,Buffalo,6.0,0.0,0.0,14395.0,0.4168113928447378,87.6,20.5,15.9,7.3
1448,18706,Buffalo,3.0,1.0,1.0,15910.0,0.18856065367693275,90.6,19.0,19.0,7.7
1449,18707,Buffalo,1.0,2.0,2.0,16108.0,0.062080953563446735,94.2,34.1,4.6,3.7
1450,18840,Buffalo,1.0,0.0,0.0,10696.0,0.09349289454001496,89.0,24.8,11.8,6.2
1451,18847,Buffalo,1.0,0.0,0.0,5644.0,0.1771793054571226,87.5,17.5,14.4,7.1
1452,18925,Buffalo,1.0,0.0,0.0,6888.0,0.14518002322880372,96.0,59.1,2.3,4.7
1453,18938,Buffalo,1.0,4.0,4.0,14146.0,0.07069136151562279,96.9,59.2,4.1,2.5
1454,18940,Buffalo,2.0,0.0,0.0,29134.0,0.06864831468387451,98.0,64.5,4.3,3.9
1455,18960,Buffalo,1.0,0.0,0.0,12411.0,0.08057368463459834,93.2,30.8,8.3,5.3
1456,18966,Buffalo,1.0,0.0,0.0,37570.0,0.026616981634282673,96.2,45.5,3.7,3.9
1457,18974,Buffalo,1.0,0.0,0.0,40677.0,0.024583917201366864,91.5,32.9,6.0,6.8
1458,18977,Buffalo,1.0,1.0,1.0,3862.0,0.2589331952356292,98.8,67.0,2.8,6.7
1459,19003,Buffalo,2.0,2.0,2.0,13835.0,0.14456089627755692,94.3,62.3,8.5,4.1
1460,19007,Buffalo,8.0,1.0,1.0,20851.0,0.38367464390197115,86.3,15.5,16.5,6.2
1461,19013,Buffalo,75.0,21.0,21.0,35621.0,2.105499564863423,81.5,10.6,35.4,17.6
1462,19015,Buffalo,1.0,1.0,1.0,16440.0,0.0608272506082725,89.2,24.3,12.3,7.8
